#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2] 
1636273818544948208,0.00266316,0.00213053,-0.0191748,9.84496,-0.356736,0.148441
1636273818547946585,0.00639159,-0.0015979,-0.0207727,9.7851,-0.301669,0.114922
1636273818548955174,0.00319579,0,-0.0213053,9.81862,-0.328006,0.146046
1636273818551946494,0.00372843,-0.00266316,-0.0191748,9.8258,-0.397437,0.0957681
1636273818553943221,0.00479369,-0.00213053,-0.02024,9.7851,-0.318429,0.114922
1636273818556977451,0.0015979,0.000532632,-0.0175769,9.84735,-0.335188,0.0837971
1636273818558943416,0.00319579,0.0015979,-0.0186421,9.8258,-0.323217,0.150835
1636273818560943882,0.00319579,0.00372843,-0.0170442,9.78271,-0.349553,0.191536
1636273818562945220,0.00266316,0,-0.0165116,9.85453,-0.35913,0.117316
1636273818563969714,0,0.00266316,-0.0186421,9.83059,-0.344765,0.136469
1636273818566980571,0.00106526,-0.00213053,-0.0191748,9.7875,-0.351948,0.0694318
1636273818567975657,0.00213053,-0.00319579,-0.0218379,9.8282,-0.351948,0.146046
1636273818570974872,0.00106526,0,-0.0197074,9.86411,-0.351948,0.126893
1636273818572979332,0.00319579,0.0015979,-0.0207727,9.80904,-0.344765,0.177171
1636273818574977824,0.00266316,0.00372843,-0.0229032,9.85214,-0.294487,0.131681
1636273818577943153,0.00213053,0.000532632,-0.0138484,9.81144,-0.356736,0.129287
1636273818579944896,0.00106526,0.00479369,-0.0186421,9.79707,-0.378284,0.0861913
1636273818581967315,0.00479369,-0.000532632,-0.0213053,9.81144,-0.380678,0.0957681
1636273818582970354,0,0.000532632,-0.0186421,9.83538,-0.308852,0.124498
1636273818585965207,0.00372843,0,-0.0218379,9.81144,-0.347159,0.134075
1636273818586969108,0.0015979,0.00319579,-0.0239685,9.7875,-0.323217,0.0909797
1636273818589977081,0.00479369,0,-0.0191748,9.83299,-0.328006,0.102951
1636273818605979183,0.00266316,-0.0015979,-0.0186421,9.83778,-0.335188,0.11971
1636273818610952927,0.00106526,0.00213053,-0.0181095,9.81144,-0.349553,0.146046
1636273818613949837,0.00106526,0.00106526,-0.0197074,9.8282,-0.325611,0.114922
1636273818615946536,0.00213053,0.0015979,-0.015979,9.86651,-0.371101,0.124498
1636273818617948131,-0.000532632,0.0015979,-0.015979,9.76834,-0.316035,0.141258
1636273818619942220,0.00532632,0,-0.0181095,9.85932,-0.366313,0.136469
1636273818620946656,0.00266316,0.00213053,-0.0213053,9.89524,-0.320823,0.146046
1636273818623975649,0.00213053,0.0015979,-0.0191748,9.81623,-0.378284,0.126893
1636273818625960281,0.00426106,0.00213053,-0.0165116,9.82102,-0.363919,0.11971
1636273818627981222,0.00319579,0.0015979,-0.0143811,9.84017,-0.414197,0.11971
1636273818629975460,0.0015979,-0.00426106,-0.0223706,9.84496,-0.3304,0.131681
1636273818632974926,0.00745685,0.000532632,-0.0175769,9.81862,-0.332794,0.117316
1636273818634984042,0.00479369,0,-0.0197074,9.84017,-0.3304,0.124498
1636273818636961219,0.00479369,-0.00213053,-0.0181095,9.7875,-0.328006,0.126893
1636273818638943393,0,-0.00479369,-0.0165116,9.86172,-0.366313,0.148441
